date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:46	62192/62192	---M--	200	added ('OK')	image/webp	date:Sat,%2011%20Mar%202023%2022:33:23%20GMT	https://www.clicktap.ae/assets/img/5.webp	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/5.webp	(from https://www.clicktap.ae/)
13:30:47	1814/1814	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Jan%202025%2012:40:39%20GMT	https://www.clicktap.ae/assets/img/search-icon.svg	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/search-icon.svg	(from https://www.clicktap.ae/)
13:30:47	4256/4256	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Jan%202025%2012:43:16%20GMT	https://www.clicktap.ae/assets/img/apps-icon.svg	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/apps-icon.svg	(from https://www.clicktap.ae/)
13:30:47	2163/2163	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Jan%202025%2012:41:37%20GMT	https://www.clicktap.ae/assets/img/display-icon.svg	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/display-icon.svg	(from https://www.clicktap.ae/)
13:30:47	766/766	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Jan%202025%2012:48:27%20GMT	https://www.clicktap.ae/assets/img/certification-video-icon.svg	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/certification-video-icon.svg	(from https://www.clicktap.ae/)
13:30:48	2579/2579	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Jan%202025%2012:45:58%20GMT	https://www.clicktap.ae/assets/img/shopping-icon.svg	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/img/shopping-icon.svg	(from https://www.clicktap.ae/)
13:30:48	8599/8599	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202023%2012:14:17%20GMT	https://www.clicktap.ae/assets/js/vendor/modernizr-3.7.1.min.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/js/vendor/modernizr-3.7.1.min.js	(from https://www.clicktap.ae/)
13:30:49	78129/78129	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2010:50:48%20GMT	https://www.clicktap.ae/assets/js/bootstrap.bundle.min.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/js/bootstrap.bundle.min.js	(from https://www.clicktap.ae/)
13:30:49	57/57	---MC-	302	error ('Found')	text/plain	date:Sun,%2016%20Mar%202025%2020:30:45%20GMT	https://unpkg.com/swiper/swiper-bundle.min.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/unpkg.com/swiper/swiper-bundle.min.3f.delayed	(from https://www.clicktap.ae/)
13:30:49	119578/119578	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2010:50:48%20GMT	https://www.clicktap.ae/assets/js/plugins.js	C:/Users/Abo%20Ahmed/Desktop/scopead.com-main/clicktap/www.clicktap.ae/assets/js/plugins.js	(from https://www.clicktap.ae/)
